"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%614","Pike","Residential Improved","Washington",0.95,0.98,1.01,19.05,29.09,1.06,0,94
"1158","Porter","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1159","Porter","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1160","Porter","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%615","Porter","Commercial Improved","Countywide",0.84,0.91,0.96,15.88,23.42,1.02,0,35
"df_sp267","Porter","Commercial Improved","Center",0.74,0.91,0.96,17.59,27.32,0.95,0,9
"df_sp268","Porter","Commercial Improved","Portage",0.81,0.96,1.06,14.57,20.45,1.04,0,13
"df_sp269","Porter","Commercial Improved","Boone",0.89,0.92,0.95,13.29,21.68,1.01,0,12
"2.5%616","Porter","Residential Vacant","Countywide",0.75,0.85,0.89,26.6,35.55,1.08,0,115
"2.5%617","Porter","Residential Vacant","Boone",0.68,0.91,1,23.18,32.82,1.06,0,35
"2.5%618","Porter","Residential Vacant","Center",0.8,0.87,0.99,20.6,28.3,0.99,0,39
"2.5%619","Porter","Residential Vacant","Liberty",0.55975,0.58,0.78,35.84,43.64,1.15,0,33
"df_sp270","Porter","Residential Vacant","Portage",0.86,0.96,1.21,16.87,21.75,1,0,7
"2.5%620","Porter","Residential Improved","Countywide",0.94,0.95,0.96,14.37,20.12,1.02,0,2256
"2.5%621","Porter","Residential Improved","Boone",0.9,0.96,1,18.5,26,1.03,0,74
"2.5%622","Porter","Residential Improved","Center",0.93,0.95,0.96,13.2,17.44,1.01,0,685
"2.5%623","Porter","Residential Improved","Jackson",0.88,0.94,0.99,16.99,23.78,1,0,62
"2.5%624","Porter","Residential Improved","Liberty",0.95,0.96,0.97,12.05,17.97,1.01,0,118
"2.5%625","Porter","Residential Improved","Morgan",0.89975,0.95,1,14.52,24.36,1.01,0,45
"2.5%626","Porter","Residential Improved","Pine",0.81,0.96,1.06,20,27.71,1.04,0,27
"2.5%627","Porter","Residential Improved","Pleasant",0.88,0.95,0.98,12.77,16.93,1.01,0,62
"2.5%628","Porter","Residential Improved","Portage",0.93,0.95,0.96,15.32,21.78,1.03,0,623
"2.5%629","Porter","Residential Improved","Porter",0.91,0.95,0.98,12.65,16.61,1.02,0,115
"2.5%630","Porter","Residential Improved","Union",0.92,0.95,0.96,14.27,18.38,1.01,0,128
"2.5%631","Porter","Residential Improved","Washington",0.88,0.95,0.97,11.68,15.37,1,0,49
"2.5%632","Porter","Residential Improved","Westchester",0.92,0.95,0.97,15.07,21.05,1.02,0,265
"1161","Posey","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1162","Posey","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1163","Posey","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp271","Posey","Commercial Improved","Countywide",0.88,0.93,1.01,11.16,15.07,1.01,0,19
"df_sp272","Posey","Commercial Improved","Black",0.82,0.92,1.01,10.16,13.9,0.98,0,11
"df_sp273","Posey","Commercial Improved","Bethel",0.88,0.96,1.2,11.91,16.12,1.03,0,8
"2.5%633","Posey","Residential Vacant","Countywide",0.75,0.86,0.96,26.75,40.09,0.98,0,37
"df_sp274","Posey","Residential Vacant","Bethel",0.66,0.79,0.9,23.78,36.82,0.96,0,9
